source_id,source,latitude,longitude,event_date,spatial_block_id
9731,NASA_GLC,23.83291945,92.63125938,2017-08-26,block_47_185
12719,NASA_GLC,25.03190213,92.42257695,2018-04-28,block_50_184
7706,NASA_GLC,25.0728,92.3636,2015-08-19,block_50_184
7276,NASA_GLC,26.1062,91.8717,2015-07-25,block_52_183
6287,NASA_GLC,26.1295,91.7056,2014-09-22,block_52_183
5273,NASA_GLC,26.1807,94.5497,2013-08-04,block_52_189
9336,NASA_GLC,24.5308,92.5121,2016-05-18,block_49_185
2574,NASA_GLC,25.4749,93.1477,2010-10-09,block_50_186
6282,NASA_GLC,26.1097,91.7747,2014-09-22,block_52_183
11176,NASA_GLC,28.10756941,94.18315697,2017-06-20,block_56_188
11150,NASA_GLC,24.79591421,93.72386429,2017-03-30,block_49_187
11153,NASA_GLC,24.83507319,93.89896294,2017-07-09,block_49_187
4905,NASA_GLC,26.0977,94.7031,2013-06-07,block_52_189
4394,NASA_GLC,27.1748,88.6458,2012-06-07,block_54_177
10972,NASA_GLC,26.191688,91.810079,2016-12-15,block_52_183
10974,NASA_GLC,26.16066111,91.85294885,2017-04-05,block_52_183
11168,NASA_GLC,27.20938411,93.61539279,2017-07-11,block_54_187
11167,NASA_GLC,27.11610665,93.79559574,2017-07-09,block_54_187
10987,NASA_GLC,25.67836832,91.9234343,2017-06-17,block_51_183
2324,NASA_GLC,24.8029,93.6228,2010-08-24,block_49_187
11332,NASA_GLC,24.86388954,93.62191829,2018-05-10,block_49_187
3637,NASA_GLC,25.51614662,94.2341227,2011-06-21,block_51_188
7589,NASA_GLC,25.2568,92.3825,2015-08-19,block_50_184
9404,NASA_GLC,28.0822,96.5316,2016-05-01,block_56_193
8995,NASA_GLC,26.1963,91.8074,2016-07-14,block_52_183
12716,NASA_GLC,25.14429782,93.97198129,2017-06-05,block_50_187
1061,NASA_GLC,27.478,88.527,2009-07-01,block_54_177
9984,NASA_GLC,26.1445447,94.24416766,2017-07-01,block_52_188
9940,NASA_GLC,26.20450454,91.87202793,2017-07-03,block_52_183
9966,NASA_GLC,26.092493,94.257523,2016-09-05,block_52_188
9983,NASA_GLC,26.11613908,94.24222574,2017-07-01,block_52_188
9989,NASA_GLC,23.69461107,92.87641207,2017-06-28,block_47_185
9745,NASA_GLC,24.19467451,91.82931979,2017-06-03,block_48_183
4382,NASA_GLC,25.1175,92.8573,2012-06-03,block_50_185
3560,NASA_GLC,24.8286,93.5935,2011-05-31,block_49_187
5270,NASA_GLC,26.0481,94.4619,2013-08-04,block_52_188
10007,NASA_GLC,26.19037705,91.77306002,2017-07-10,block_52_183
2436,NASA_GLC,24.3069,93.125,2010-09-16,block_48_186
10977,NASA_GLC,25.481623,93.141692,2017-04-04,block_50_186
11162,NASA_GLC,26.56636244,93.13195098,2017-07-09,block_53_186
4426,NASA_GLC,26.1226,91.7162,2012-06-22,block_52_183
3881,NASA_GLC,27.1034,93.6885,2011-08-05,block_54_187
8900,NASA_GLC,25.0118,94.3136,2016-07-07,block_50_188
9742,NASA_GLC,25.67061161,94.11844319,2017-06-02,block_51_188
1611,NASA_GLC,25.1553,93.028,2010-04-01,block_50_186
6105,NASA_GLC,28.9205,95.3429,2014-06-26,block_57_190
10989,NASA_GLC,25.51826286,91.9630294,2017-02-15,block_51_183
9701,NASA_GLC,24.938948,93.496837,2017-09-21,block_49_186
8684,NASA_GLC,25.9611,91.3681,2016-07-07,block_51_182
241,NASA_GLC,27.201,88.4883,2007-09-07,block_54_176
4392,NASA_GLC,29.2409,95.9761,2012-06-06,block_58_191
868,NASA_GLC,26.3333,91.25,2008-10-29,block_52_182
1168,NASA_GLC,27.1954,88.6115,2009-09-17,block_54_177
714,NASA_GLC,27.163,94.0,2008-08-14,block_54_188
6110,NASA_GLC,26.1619,91.7697,2014-06-27,block_52_183
11159,NASA_GLC,25.6320357,94.10065403,2017-07-09,block_51_188
10967,NASA_GLC,24.37169581,93.70684171,2017-07-10,block_48_187
11459,NASA_GLC,24.98793655,93.49870413,2018-06-03,block_49_186
11530,NASA_GLC,22.87370331,92.7581259,2018-06-05,block_45_185
6968,NASA_GLC,25.463,92.2121,2015-06-13,block_50_184
2577,NASA_GLC,25.5265,93.8673,2010-10-09,block_51_187
4571,NASA_GLC,27.6558,88.605,2012-09-19,block_55_177
5122,NASA_GLC,25.7658,93.9413,2013-07-17,block_51_187
9951,NASA_GLC,26.1061808,91.85158907,2017-07-03,block_52_183
